Date and Time,Site,Source IP Address,User Name,Application Name,Application Category,Reputation,URL Category,Action Taken,Isolation Type,Total Bytes,Downloaded Bytes,Uploaded Bytes,Client IP Address,Destination IP Address,Destination Port,Protection Area,Malware Name,Block Reason,Rule Name,URL,Method,Content Type,Browser Name,Browser Version,Agent Name,HTTP Status,Location,Process Name,MCP,POP ID,POP Country Code,HTTP Referer,RBI,HTTPS Scanning,AV Upload Scan Enabled,AV Download Scan Enabled,Client Hostname,Filename,POP Egress IP,POP Ingress IP,Proxy Port,DLP Scanning,Malware Probability,Domain Fronting Host,SSL Client Protocol,SSL Server Protocol,Domain Fronting URL,Transaction Time,Processing Time,Time to First Byte from Server,Time to Last Byte from Server
2026-07-16T16:29:23,ss-prod-ue1-ns.aws.adobess.com,38.7.102.74,advc2808,Unknown,Unknown,Minimal Risk,"Business,Software/Hardware",BLOCK,None,66773,65115,1658,10.20.133.43,54.158.80.202,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,ss-prod-ue1-ns.aws.adobess.com/api/v1/notifications,GET,application/x-empty,Other,,Adobe UXP Runtime/uxp-9.3.0-uxp (darwin 25.4.0; arm64) Adobe Photoshop/27.8.0 com.adobe.ccx.start/10.9.0.13,403,,adobe photoshop 2026,true,257,US,,false,true,false,false,bd01l05010.local,notifications,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,192ms ,64ms ,0s,0s
2026-07-16T16:29:21,ak-data.magnific.com,38.7.102.74,advc2808,Magnific (formerly Freepik),Artificial Intelligence,Minimal Risk,"Business,Interactive Web Applications,Artificial Intelligence,Generative AI (Image/Audio/Video)",BLOCK,None,68969,65143,3826,10.20.133.43,34.160.205.140,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,ak-data.magnific.com/app/app/xzo0bvj9t7raco6og0q3,GET,application/x-empty,Safari,26.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Safari/605.1.15",403,,safari,true,257,US,,false,true,false,false,bd01l05010.local,xzo0bvj9t7raco6og0q3,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,210ms ,66ms ,0s,0s
2026-07-16T16:29:06,ak-data.magnific.com,38.7.102.74,advc2808,Magnific (formerly Freepik),Artificial Intelligence,Minimal Risk,"Business,Interactive Web Applications,Artificial Intelligence,Generative AI (Image/Audio/Video)",BLOCK,None,68969,65143,3826,10.20.133.43,34.160.205.140,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,ak-data.magnific.com/app/app/xzo0bvj9t7raco6og0q3,GET,application/x-empty,Safari,26.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Safari/605.1.15",403,,safari,true,257,US,,false,true,false,false,bd01l05010.local,xzo0bvj9t7raco6og0q3,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,342ms ,69ms ,0s,0s
2026-07-16T16:29:05,ak-data.magnific.com,38.7.102.74,advc2808,Magnific (formerly Freepik),Artificial Intelligence,Minimal Risk,"Business,Interactive Web Applications,Artificial Intelligence,Generative AI (Image/Audio/Video)",BLOCK,None,68969,65143,3826,10.20.133.43,34.160.205.140,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,ak-data.magnific.com/app/app/xzo0bvj9t7raco6og0q3,GET,application/x-empty,Safari,26.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Safari/605.1.15",403,,safari,true,257,US,,false,true,false,false,bd01l05010.local,xzo0bvj9t7raco6og0q3,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,392ms ,63ms ,0s,0s
2026-07-16T16:28:58,chatgpt.com,38.7.102.74,advc2808,OpenAI - ChatGPT,Artificial Intelligence,Minimal Risk,"Interactive Web Applications,Artificial Intelligence",BLOCK,None,80782,65198,15584,10.20.133.43,104.18.32.47,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,chatgpt.com/ces/v1/telemetry/intake,POST,application/x-empty,Safari,26.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Safari/605.1.15",403,,safari,true,257,US,https://chatgpt.com/c/6a58f5ef-8fe4-83e8-971b-85e7bd9554c2,false,true,false,false,bd01l05010.local,intake,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,256ms ,64ms ,0s,0s
2026-07-16T16:28:58,ss-prod-ue1-ns.aws.adobess.com,38.7.102.74,advc2808,Unknown,Unknown,Minimal Risk,"Business,Software/Hardware",BLOCK,None,66562,64986,1576,10.20.133.43,54.243.201.13,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,ss-prod-ue1-ns.aws.adobess.com/api/v1/notifications,GET,application/x-empty,Other,,Adobe UXP Runtime/uxp-9.3.0-local (darwin 25.4.0; arm64) Illustrator/30.6.0 com.adobe.ccx.start/10.9.1.1,403,,adobe illustrator,true,257,US,,false,true,false,false,bd01l05010.local,notifications,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,263ms ,65ms ,0s,0s
2026-07-16T16:28:58,chatgpt.com,38.7.102.74,advc2808,OpenAI - ChatGPT,Artificial Intelligence,Minimal Risk,"Interactive Web Applications,Artificial Intelligence",BLOCK,None,75420,64959,10461,10.20.133.43,104.18.32.47,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,chatgpt.com/backend-api/celsius/ws/user,GET,application/x-empty,Safari,26.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Safari/605.1.15",403,,safari,true,257,US,https://chatgpt.com/c/6a58f5ef-8fe4-83e8-971b-85e7bd9554c2,false,true,false,false,bd01l05010.local,user,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,222ms ,66ms ,0s,0s
2026-07-16T16:28:41,chatgpt.com,38.7.102.74,advc2808,OpenAI - ChatGPT,Artificial Intelligence,Minimal Risk,"Interactive Web Applications,Artificial Intelligence",BLOCK,None,75420,64959,10461,10.20.133.43,104.18.32.47,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,chatgpt.com/backend-api/celsius/ws/user,GET,application/x-empty,Safari,26.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Safari/605.1.15",403,,safari,true,257,US,https://chatgpt.com/c/6a58f5ef-8fe4-83e8-971b-85e7bd9554c2,false,true,false,false,bd01l05010.local,user,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,206ms ,69ms ,0s,0s
2026-07-16T16:28:32,chatgpt.com,38.7.102.74,advc2808,OpenAI - ChatGPT,Artificial Intelligence,Minimal Risk,"Interactive Web Applications,Artificial Intelligence",BLOCK,None,75420,64959,10461,10.20.133.43,104.18.32.47,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,chatgpt.com/backend-api/celsius/ws/user,GET,application/x-empty,Safari,26.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Safari/605.1.15",403,,safari,true,257,US,https://chatgpt.com/c/6a58f5ef-8fe4-83e8-971b-85e7bd9554c2,false,true,false,false,bd01l05010.local,user,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,557ms ,62ms ,0s,0s
2026-07-16T16:28:32,ss-prod-ue1-ns.aws.adobess.com,38.7.102.74,advc2808,Unknown,Unknown,Minimal Risk,"Business,Software/Hardware",BLOCK,None,66047,64193,1854,10.20.133.43,18.232.19.173,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,ss-prod-ue1-ns.aws.adobess.com/api/v1/notifications,GET,application/x-empty,Other,,CoreSync: 7.8.10.1 And MacOS Version 26.4 (Build 25E246),403,,core sync,true,257,US,,false,true,false,false,bd01l05010.local,notifications,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,537ms ,64ms ,0s,0s
